,N.º,Título,Duración,Álbum,Título_v2,Letra
73,6., The Day and the Time (con Gustavo Cerati),4:23,Fijación Oral Vol.2,The Day and the Time,"9 ContributorsTranslationsEspañolThe Day and the Time Lyrics[Verse 1]
Who's to say that we always have to agree
I think we can both can take this one mistake
Like some kind of amnesty
Why to love and with such brutality?
We're compatible, maybe a bit too much
That's our ambiguity
I've cried a thousand storms
I've blown away the clouds
The heartbeat of the sun is racing mine
And listen how my heart is waiting

[Chorus]
This is the day and the time
I wanna believe that we may still have a chance
We took a leap in the dark
And I can see now
How shadows have turned to light

[Verse 2]
Well, we know how ephemeral are things
Disillusion takes what illusion gives
What's the use of make believe?
The needles of the clock
Are moving right to left
Pretend we never heard of things we said
Like we've been deaf
And start all over
You might also like[Chorus]
This is the day and the time
I wanna believe that we may still have a chance
We took a leap in the dark
And I can see now
How shadows have turned to light

[Bridge]
The heartbeat of the sun is racing mine
And listen how, how (ooh)

[Chorus]
This is the day and the time
I wanna believe that we may still have a chance
We took a leap in the dark
And I can see now
How shadows have turned to light

[Outro]
Ah, the time
Ah, ah, oohEmbed"
74,7.,Dreams for Plans,4:04,Fijación Oral Vol.2,Dreams for Plans,"11 ContributorsTranslationsEspañolDreams for Plans Lyrics[Verse 1]
Once upon a time you and I
When we were dreamin' easy
Fresh as limes and happy as a Sunday sky
There was nothing we could sell or buy
'Cause all we really needed
Was our bare feet and a pair of wings to fly

[Pre-Chorus]
What do you think, darling?
Have we lived too much, too fast?
And have you
Have you felt melancholy, darling
Wishing that time hadn't passed?

[Chorus]
Can you tell me how it used to be?
Have we missed our chance?
Have we changed our hopes for fears
And our dreams for plans?
Can you tell me how it used to be
When we really cared
And when love was on our side, on our side?

[Verse 2]
I remember all the times before
When we could spend our living
Staring at the ceiling, lying on the floor
My vocabulary wasn't broad
I spoke so little English
And the word stress would
Sound like something odd
You might also like[Pre-Chorus]
What do you think, darling?
Have we lived too much, too fast?
And have you
Have you felt melancholy, darling
Wishing that time hadn't passed?

[Chorus]
Can you tell me how it used to be?
Have we missed our chance?
Have we changed our hopes for fears
And our dreams for plans?
Can you tell me how it used to be
When we really cared
And when love was on our side, on our side?

[Bridge]
What is your guess, darling?
Have I lived too much, too fast?
So if you, if you ever come and find me crying
Now you know, now you know why

[Chorus]
Can you tell me how I used to be?
Have I missed my chance?
Have I changed my hopes for fears
And my dreams for plans?
Can you tell me how it used to be
When we really cared
And when love was on our side, on our side?2Embed"
75,8.,Hey You,3:51,Fijación Oral Vol.2,Hey You,"10 ContributorsTranslationsEspañolHey You Lyrics[Verse 1]
I'd like to be the kind of dream you'd never share
To be your boss and to be your maid
Your shaving cream, your razor blade
The buttons of your shirt
Your favorite underwear
I'd like to be the only thing on Earth that makes you cry
The only thing that makes you happy
Soon you will see
That no one else but me can take you this high
And soon you'll make your last name mine

[Chorus]
Hey, you
Makin' an offer that no one could ever refuse
Don't play the adamant
Don't be so arrogant
Can't you see I've fallen for ya?
Hey, you
Makin' an offer that no one would dare to refuse
Don't play the adamant
Don't be so arrogant
Let me in, let me be your muse tonight
Tonight, tonight

[Verse 2]
I'd like to be the first white hair upon your head
To be your cherry pie, your daily bread
I'll cook for free, I'll make your bed
If I can know the things you've thought and never said
I'd like to be the owner of the zipper on your jeans
And that thing that makes you happy
I'd like to be the beginning, the end
And the in-between
And be your slave, and be your queen
You might also like[Chorus]
Hey, you
Makin' an offer that no one could ever refuse
Don't play the adamant
Don't be so arrogant
Can't you see I've fallen for ya?
Hey, you
Makin' an offer that no one would dare to refuse
Don't play the adamant
Don't be so arrogant
Let me in, let me be your muse tonight
Tonight, tonight, tonight, tonight

[Instrumental]

[Chorus]
Hey, you
Makin' an offer that no one could ever refuse
Don't play the adamant
Don't be so arrogant
Can't you see I've fallen for ya?
Hey, you
Makin' an offer that no one would ever refuse
Don't play the adamant
Don't be so arrogant
Let me in, let me be your muse tonight
Tonight, tonight, tonight, tonight
Let me in, let me be your muse
Be your muse tonight
[Bridge]
Tonight, tonight
Oh, oh
(Oh, oh, oh, oh, oh ,oh, oh) Tonight
Tonight (oh, oh, oh, oh)
Oh

[Outro]
Let me in, let me be your muse
Be your muse tonightEmbed"
76,9.,Your Embrace,3:34,Fijación Oral Vol.2,Your Embrace,"11 ContributorsTranslationsEspañolYour Embrace Lyrics[Verse 1]
Tell me what's the use
Of a twenty-four inch waist
If you don't touch me?
Tell me, what's the use again
Of being on TV every day
If you don't watch me?

[Pre-Chorus]
This house is full of emptiness
My closet's full of dresses
That I'll never wear
My life is full of people
But you're my only friend
My best friend

[Chorus]
Hope it isn't too late to say ""I love you""
Hope it isn't too late to say
That without you this place looks like London
It rains every day
Don't you know it, babe?
I'm only half a body
Without your embrace

[Verse 2]
Let me tell you why
My heart is an unfurnished room
Any suggestions?
Don't have to tell you more than that
'Cause no one knows me like you do
Without exception
You might also like[Pre-Chorus]
This house is full of emptiness
My closet's full of dresses
That I'll never wear
My life is full of people
But you're my only friend
My best friend

[Chorus]
Hope it isn't too late to say ""I love you""
Hope it isn't too late to say
That without you this place looks like London
It rains every day
Don't you know it, babe?
I'm only half a body
Without your embrace

[Instrumental]

[Chorus]
Hope it isn't too late to say ""I love you""
Hope it isn't too late to say
That without you this place looks like London
It rains every day
Don't you know it, babe?
I'm only half a body
Without your embrace1Embed"
77,10.,Costume Makes the Clown,3:13,Fijación Oral Vol.2,Costume Makes the Clown,"15 ContributorsTranslationsEspañolCostume Makes the Clown Lyrics[Verse 1]
Told you I felt lucky with my humble breasts
Well, I don't
Said that I was sure the world was gonna change
Well, I'm not
Before I didn't give a damn 'bout what they say
But I do
Promised that I'd never ever lie to you

[Pre-Chorus 1]
But look at how
I'm takin' the make-up off my face
Before I forget my own features

[Chorus]
'Cause I'm not here to let you down
But the costume makes the clown
That's just life's anatomy
Don't be so hard, don't be so hard on this
It's your turn now to cheat on me

[Verse 2]
The promises I made to you went down the sink
Really hope I haven't harmed your self esteem
I'm not a virgin, but I'm not the whore you think
And I don't always smell like strawberries and cream
You might also like[Pre-Chorus 2]
So look at how
I'm takin' the make-up off my face
Before I forget who I am now

[Chorus]
'Cause I'm not here to let you down
But the costume makes the clown
It's just life's anatomy
Don't be so hard, don't be so hard on this
It's your turn now, your turn now

[Chorus]
I'm not here to let you down
But the costume makes the clown
It's just life's anatomy
Don't be so hard, don't be so hard on this
It's your turn now, your turn now
To cheat on meEmbed"
78,11.,Something,4:24,Fijación Oral Vol.2,Something,"15 ContributorsTranslationsEspañolSomething Lyrics[Intro]
Quand tu
Quand tu me prends dans tes bras
Quand je regarde dans tes yeux
Je vois qu'un Dieu existe
Ce n'est pas dur d'y croire

[Verse 1]
Before I met you, I wasn't terribly lucky
Every Prince Charming lost charm after twelve
But then you came and made the past look so funny
Put my old sadness to sleep on a shelf

[Verse 2]
If this was meant to be
Don't condemn me to be free
And even if we never marry
I will always love you, baby
Childishly

[Pre-Chorus]
'Cause something
You've got something I can't resist
Things are what they will be
When I look into your eyes
They say to me that God still exists
You might also like[Chorus]
And there's something
You've got something I can't resist
Things are what they will be
When I look into your eyes
They say to me that God still exists
You make me believe
You make me believe

[Verse 3]
I love the temperature and smell of your body
The shape of your lips
The size of your nose
I love that everything you say is so funny
Plus you're the best kisser that I've ever known

[Verse 4]
You see the way I am
Without make-up, without clothes
And you accept me like nobody
And I will always love you, baby
With eyes closed

[Pre-Chorus]
'Cause something
You've got something I can't resist
Things are what they will be
When I look into your eyes
They say to me that God still exists
[Chorus]
And there's something
You've got something I can't resist
Things are what they will be
When I look into your eyes
They say to me that God still exists
You make me believe
You make me believe

[Bridge]
Quand tu
Quand tu me prends dans tes bras
Quand je regarde dans tes yeux
Je vois qu'un Dieu existe
Ce n'est pas dur d'y croire

[Outro]
There's something
I believe
There's something
I believe
There's something
I believe
I do
You make me believe
Je te désireEmbed"
79,12.,Timor,3:32,Fijación Oral Vol.2,Timor,"13 ContributorsTranslationsEspañolTimor Lyrics[Intro]
Timor, Timor
Yale, Yale
East Timor, Timor
Timor, Timor
Timor, Timor

[Break]
Going on and on and on and on
This is going on and on and on and on now
Said it once and say it twice
I want to save your time
Safety, safety

[Verse 1]
It's alright, it's alright
'Cause the system never fails
The good guys are in power
And the bad guys are in jail
It's alright, it's alright
Just as long as we can vote
We live in democracy
And that's what we promote
Isn't it? Isn't it? (Ooh)
Isn't it? Isn't it? (Ooh)
It's alright, it's alright
If the news says half the truth
Hearing what we want's
The secret of eternal youth
It's alright, it's alright
If the planet split in three
'Cause I'll keep selling records
And you've got your MTV
You might also like[Chorus]
If we forget about them, don't worry
If they forget about us then hurry
How about the people who don't matter anymore?
East Timor, Timor, Timor

[Verse 2]
It's alright, it's alright
They don't show it all on TV
So we won't really know it
Just by watching *BC
It's alright, it's alright
For our flag, we die or kill
As long as we don't know it
We'd do it just to pay the bills

[Chorus]
If we forget about them, don't worry
If they forget about us then hurry
How about the people who don't matter anymore?
If we forget about them, don't worry
If they forget about us then hurry
How about the people who don't matter anymore?
East Timor, Timor, Timor

[Bridge]
Let's keep tanning while it's sunny
They'll risk our hides to make their money
Now don't you find that funny?
[Chorus]
If we forget about them
If they forget about us then hurry
How about the people who don't matter anymore?
If we forget about them, don't worry
If they forget about us then hurry
How about the people who don't matter anymore?
East Timor, Timor, Timor
East Timor, Timor, Timor
East Timor1Embed"
80,13.,La Tortura (con Alejandro Sanz),3:37,Fijación Oral Vol.2,La Tortura,"33 ContributorsTranslationsEnglishLa Tortura Lyrics[Letra de ""La Tortura"" ft. Alejandro Sanz]

[Intro: Alejandro Sanz]
Ay payita mía, guárdate la poesía
Guárdate la alegria pa' ti
Y oye, dámelo

[Verso 1: Shakira & Alejandro Sanz]
No pido que todos los días sean de sol
No pido que todos los viernes sean de fiesta
Y tampoco te pido que vuelvas rogando perdón
Si lloras con los ojos secos y hablando de ella

[Pre-Coro: Shakira & Alejandro Sanz]
Ay, amor, me duele tanto (Me duele tanto)
Que te fueras sin decir a dónde
Ay, amor, fue una tortura perderte

[Coro: Shakira & Alejandro Sanz]
Yo sé que no he sido un santo
Pero lo puedo arreglar, amor
No solo de pan vive el hombre
Y no de excusas vivo yo
Solo de errores se aprende
Y hoy sé que es tuyo mi corazón
Mejor te guardas todo eso
A otro perro con ese hueso y nos decimos adiós
You might also like[Post-Coro: Alejandro Sanz]
Que esto es una vez, es otra vez
Que esto es una vez, es otra vez

[Verso 2: Shakira & Alejandro Sanz]
No puedo pedir que el invierno perdone a un rosal
No puedo pedir a los olmos que entreguen peras
No puedo pedirle lo eterno a un simple mortal
Y andar arrojando a los cerdos miles de perlas

[Pre-Coro: Shakira & Alejandro Sanz]
Ay, amor, me duele tanto, me duele tanto
Que no creas más en mis promesas
Ay amor, es una tortura perderte

[Coro: Shakira & Alejandro Sanz]
Yo sé que no he sido un santo
Pero lo puedo arreglar, amor
No solo de pan vive el hombre
Y no de excusas vivo yo
Solo de errores se aprende
Y hoy sé que es tuyo mi corazón
Mejor te guardas todo eso
A otro perro con ese hueso y nos decimos adiós

[Post-Coro: Alejandro Sanz]
Y oye, dámelo
[Verso 3: Alejandro Sanz]
No te bajes, no te bajes
Oye negrita, mira, no te rajes
De lunes a viernes tienes mi amor
Déjame el sábado a mí que es mejor
Oye mi negra, no me castigues más
Porque allá afuera, sin ti no tengo paz
Yo solo soy un hombre arrepentido
Y como el ave que vuelve a su nido

[Coro: Shakira & Alejandro Sanz]
Yo sé que no he sido un santo
Y es que no estoy hecho de cartón
No solo de pan vive el hombre
Y no de excusas vivo yo
Solo de errores se aprende
Y hoy sé que es tuyo mi corazón

[Outro: Shakira]
Ay, ay
Ay, ay, ay
Ay, todo lo que he hecho por ti
Fue una tortura perderte y me duele tanto que sea así
Sigue llorando ""Perdón""
Yo ya no voy a llorar hoy por ti24Embed"
81,1.,She Wolf,3:10,She Wolf,She Wolf,"37 ContributorsTranslationsEspañolShe Wolf Lyrics[Intro]
S.O.S, she's in disguise
S.O.S, she's in disguise
There's a she wolf in disguise
Coming out, coming out, coming out

[Verse 1]
A domesticated girl, that's all you ask of me
Darling, it is no joke, this is lycanthropy
The moon's awake now, with eyes wide open
My body's craving, so feed the hungry

[Pre-Chorus 1]
I've been devoting myself to you
Monday to Monday and Friday to Friday
Not getting enough retribution
Or decent incentives to keep me at it
I'm starting to feel just a little abused
Like a coffee machine in an office (Uh)
So I'm gonna go somewhere cozy to get me a lover
And tell you about it

[Chorus]
There's a she-wolf in the closet
Open up and set it free (Ah-ooh)
There's a she-wolf in your closet
Let it out so it can breathe
You might also like[Verse 2]
Sitting across a bar, staring right at her prey
It's going well so far, she's gonna get her way
Nocturnal creatures are not so prudent
The moon's my teacher and I'm her student

[Pre-Chorus 2]
To locate the single men, I got on me a special radar
And the fire department hotline in case I get in trouble later
Not looking for cute little divos or rich city guys
I just want to enjoy (Uh)
By having a very good time
And behave very bad in the arms of a boy

[Chorus]
There's a she-wolf in the closet
Open up and set it free (Ah-ooh)
There's a she-wolf in your closet
Let it out so it can breathe

[Bridge]
S.O.S, she's in disguise
S.O.S, she's in disguise
There's a she-wolf in disguise
Coming out, coming out, coming out
S.O.S, she's in disguise
S.O.S, she's in disguise
There's a she-wolf in disguise
Coming out, coming out, coming out
[Outro]
There's a she-wolf in the closet
Let it out so it can breathe26Embed"
82,2.,Did It Again,3:13,She Wolf,Did It Again,"23 ContributorsTranslationsEspañolDid It Again Lyrics[Intro]
First floor (Ah)
Room sixteen (Ah)
Smells like danger (Let's go)
Even better (Let's go)
Set your goals (Ah)
Bless our souls (Ah)
I'm in trouble (Yes, I know)
But it feels like heaven (Hey!)

[Verse 1]
You were like one of those guys
The kind with the wandering eyes
But I said, ""Hey, what the hell?
Once in my life, I'll take a ride on the wild side""
You were so full of yourself
But, damn, were you cute as well
You liked my legs, I liked your moves
Anyone could tell, not hard to deny that

[Chorus]
Did it again now, I got it all wrong
But it felt so right, I can't believe it
And all the mistakes that went on for too long
Wish there was a way I could delete them
Eh, eh, eh, eh, ah, ah, ah, ah
Eh, eh, eh, eh, ah, ah, ah
You might also like[Interlude]
Second night (Ah)
In a row (Ah)
Back in trouble (Let's go)
I don't get it (Let's go)
Gotta keep it down (Ah)
'Cause the lobby called (Ah)
But we ignore them (Yes, I know)
Getting better (Hey!)

[Verse 2]
When it comes to men, it's known
That I end up choosing wrong
'Cause I always trip and fall
On the same old rock and repeat and go back
How blind a girl can be
To miss you hide your ring?
Lied about everything
I'm so naïve, and I should have known that

[Chorus]
Did it again now, I got it all wrong
But it felt so right, I can't believe it
And all the mistakes that went on for too long
Wish there was a way I could delete them
Eh, eh, eh, eh, ah, ah, ah, ah
Eh, eh, eh, eh, ah, ah, ah
[Bridge]
It may seem to you that I am in a place
Where I'm losing the direction of my life
But I'm sure that this is nothing but a phase
Right back at ya, 'cause I'll survive
It may seem to you that I am in a place
Where I'm losing the direction of my life
But I'm sure that this is nothing but a phase
Right back at ya, 'cause I'll survive

[Chorus]
Did it again now, I got it all wrong
But it felt so right, I can't believe it
And all the mistakes that went on for too long
Wish there was a way I could delete them
Did it again now, I got it all wrong
Eh, eh, eh, eh, ah, ah, ah, ah
Eh, eh, eh, eh, ah, ah, ah, ah1Embed"
83,3.,Long Time,2:56,She Wolf,Long Time,"12 ContributorsTranslationsEspañolLong Time Lyrics[Verse 1]
Hold me
Show me all the talent God has given you
I want us thinking outside the box (All night long)
Just keep on going
You've done good things for me
Though I'm not an easy girl to please
I'll never run out of faith in you (All night long)
Just keep on going

[Chorus]
Long time, baby, long time
That's the way I've loved you, baby
Long night, it's been a long night
I'm breaking the record, told ya
Long time, baby, long time
The minutes are eternal lately
Long night, it's been a long night
I can't wait to touch you, touch you

[Verse 2]
I wish I had longer legs
That I could fasten to your body
So you'd take me with you everywhere
And when you think I can take no more (All night long)
Just keep on going
If I let you have your way, don't think I'm weak
You got the stamina and the technique
So let those eloquent hands of yours (All night long)
Just keep on going
You might also like[Chorus]
Long time, baby, long time
That's the way I've loved you, baby
Long night, it's been a long night
I'm breaking the record, told ya
Long time, baby, long time
The minutes are eternal lately
Long night, it's been a long night
I can't wait to touch you, touch you

[Bridge]
This thing we've got's so rare
It's so good; it's not even fair
So how could anything compare to your way?
No way, no way
How can you do me so much good?
I'm so happy, I should get sued
But nothing matters next to you
No way, no way

[Gaita solo]

[Chorus]
Long time, long time
That's the way I've loved you, baby
Long night, it's been a long night
I'm breaking the record, told ya
Long time, baby, long time
The minutes are eternal lately
Long night, it's been a long night
I can't wait to touch you, touch you1Embed"
84,4.,Why Wait,3:43,She Wolf,Why Wait,"15 ContributorsTranslationsEspañolWhy Wait Lyrics[Verse 1]
Put your trust in me
I won't let you down
Don't delay the things
That you want right now

[Pre-Chorus]
Why wait for later?
Hey, don't you want some action?
I'm not a waiter
I like to make things happen
Something's coming on, coming on strong
Don't take too long
Don't you wanna know?
Baby, come home (Oh)

[Chorus]
One more night with you
I won't think it through
Time's money, but you knew
There's nothing in the world
You can think of that I won't do to you

[Verse 2]
Drowning in your sweat
Till I drench my clothes
You've seen nothing yet
Wait till you let go
You might also like[Pre-Chorus]
Why wait for later?
Obey my intuition
We're gonna be just fine
I've got a premonition
Something's coming on, coming on strong
Don't take too long
Don't you wanna know?
Baby, come home (Oh)

[Chorus]
One more night with you
I won't think it through
Time's money, but you knew
There's nothing in the world
You can think of that I won't do to you

[Bridge]
I'm gonna dance through the veil of your eyes
While you follow my steps in the sand
I see your fate in the palm of your hand
No one looks, no one hears us this time
It's only me and your conscience tonight
If there are no witnesses, there is no crime

[Pre-Chorus]
Why wait for later?
I'm not a waiter
Something's coming on, coming on strong
Don't take too long
Don't you wanna know?
Baby, come home (Oh)
[Chorus]
One more night with you
I won't think it through
Time's money, but you knew
There's nothing in the world
You can think of that I won't do to—
One more night with you
I won't think it through
Time's money, but you knew
There's nothing in the world
You can think of that I won't do to you

[Outro]
You, you
You, you
You, you
You, you
You, you2Embed"
85,5.,Good Stuff,3:18,She Wolf,Good Stuff,"13 ContributorsTranslationsEspañolGood Stuff Lyrics[Intro]
Ah, ah, ah

[Verse 1]
Tell me all your wishes
I am here to make them true, don't wander
You don't have to rub a lamp
'Cause I'll take care of you
Nobody knows, nobody knows
Nobody knows, nobody knows

[Pre-Chorus]
Tell me what you think, I'm one of your kind
You know a girl like me is difficult to find
I bet you've never seen nothing like this before
I bet you've never met someone who loved you more
You know that I'm a witch and I can read your mind, boy?
Where do I have to sign? I'm on board

[Chorus]
My new resolution is to trust you
My business to love you until you've had it
I'm not gonna miss out on the good stuff
The grass is much greener with us on it

Ah, ah, ah
You might also like[Verse 2]
Better than to sail on the Mediterranean Sea
Better than to get a fancy Gucci dress for free
Don't think it over, think it over
Don't think it over, think it over

[Pre-Chorus]
Totally up to you what you do with me
I'm gonna make it up to us, and you will see
Don't have to prove it, it is written in your eyes
Tonight you'll be the winner, I will be the prize
You know that I'm a witch and I can read your mind, boy?
I know just what you want, and I like that

[Chorus]
My new resolution is to trust you
My business to love you until you've had it
I'm not gonna miss out on the good stuff
The grass is much greener with us on it

Ah, ah, ah

[Bridge]
Watch my body get lower
As low as it can go, er
All the boys will follow, er
I'll show you something you don't know
Watch my body get lower
As low as it can go, er
All the boys will follow, er
I'll show you something you don't know
'Cause I know what you want, and I like that
[Chorus]
My new resolution is to trust you
My business to love you until you've had it
I'm not gonna miss out on the good stuff
The grass is much greener with us on it
My new resolution is to trust you
My business to love you until you've had it
I'm not gonna miss out on the good stuff
The grass is much greener with us on it1Embed"
86,6.,Men in This Town,3:36,She Wolf,Men in This Town,"16 ContributorsTranslationsEspañolMen in This Town Lyrics[Intro]
Is there a prince in this fable for a small town girl like me?
The good ones are gone or not able
And Matt Damon's not meant for me
Damon's not meant for me (Ooh)

[Verse 1]
I got to say: California
Is a place that I respect
Come on, LA, take advantage
Give me a night that I won't forget
I went to look
From the Sky Bar to the Standard, nothing took
These boys don't care
Got a handful with their projects and with their looks

[Chorus]
Where are all the men in this town?
And what's a girl supposed to do?
Did they all run off when they knew
That I was coming 'round, coming 'round?
Where are all the men in this town?
And what's a girl supposed to do?
Did they all run off when they knew
That I was coming 'round, coming 'round?
You might also like[Post-Chorus]
Fresh
I'm so fresh, and I'm so clean
Got the lips, and got the skin
Got the skin, got that thing
I'm so fresh, and I'm so-

[Verse 2]
Is there a prince in this fable
For a small town girl like me?
The good ones are gone or not able
And Matt Damon's not meant for me

[Bridge]
I never dreamed that I'd come here to become the next Jolie
But I sure know there is someone
Around somewhere who's meant to be

[Chorus]
Where are all the men in this town?
And what's a girl supposed to do?
Did they all run off when they knew
That I was coming 'round, coming 'round?
Where are all the men in this town?
And what's a girl supposed to do?
Did they all run off when they knew
That I was coming 'round, coming round?
[Post-Chorus]
Fresh
I'm so fresh, and I'm so clean
Got the lips, and got the skin
Got the skin, got that thing
I'm so fresh, and I'm so
Fresh
I'm so fresh, and I'm so clean
Got the lips, and got the skin
Got the skin, got that thing
I'm so fresh, and I'm so-

[Outro]
So they say
It's a suicide, waiting, others say
It's a suicide, waiting, yo no sé
It's a suicide, waiting, another day
It's a suicide, waiting
So decide, it's a suicide, waiting all this time
It's a suicide, waiting, ¿dónde estás?
It's a suicide, waiting, so decide
It's a suicide, waiting1Embed"
87,7.,Gypsy,3:18,She Wolf,Gypsy,"16 ContributorsGypsy Lyrics[Verse 1]
Broke my heart on the road
Spent the weekend sewing the pieces back on
Crayons and dolls pass me by
Walking gets too boring when you learn how to fly
Not the homecoming kind
Take the top off, and who knows what you might find?
Won't confess all my sins
You can bet all trying, but you can't always win

[Chorus]
'Cause I'm a gypsy
Are you coming with me?
I might steal your clothes and wear them if they fit me
Never made agreements
Just like a gypsy
And I won't back down ‘cause life's already bit me
And I won't cry, I'm too young to die
If you're gonna quit me
‘Cause I'm a gypsy

[Refrain]
'Cause I'm a gypsy

[Verse 2]
I can't hide what I've done
Scars remind me of just how far that I've come
To whom it may concern
Only run with scissors when you want to get hurt
You might also like[Chorus]
'Cause I'm a gypsy
Are you coming with me?
I might steal your clothes and wear them if they fit me
I don't make agreements
Just like a gypsy
And I won't back down ‘cause life's already bit me
And I won't cry, I'm too young to die
If you're gonna quit me
'Cause I'm a gypsy

[Bridge]
And I say, ""Hey, you, you're no fool if you say, ‘no’
Ain't it just the way life goes?
People fear what they don't know""
Come along for the ride, oh yeah
Come along for the ride, ooh

[Chorus]
‘Cause I'm a gypsy
Are you coming with me?
I might steal your clothes and wear them if they fit me
Never made agreements
Just like a gypsy
And I won't back down 'cause life's already bit me
And I won't cry, I'm too young to die
If you're gonna quit me
'Cause I'm a gypsyEmbed"
88,8.,Spy (con Wyclef Jean),3:27,She Wolf,Spy,"14 ContributorsTranslationsEspañolSpy Lyrics[Intro: Wyclef Jean]
Y'all ready for that cat's experience?
We got it going on the floor, man
I see everybody on the floor getting their dance on
Get your two-step on
That's my girl, you gotta find your own
Let's go!

[Verse 1: Shakira & (Wyclef Jean)]
Slow motion, blinds are see-through (Uh-huh)
Let your mind go, imagine that I kiss you
Turn off the lights and open up your eyes now
You can take a glimpse into my soul for tonight

[Pre-Chorus: Shakira & (Wyclef Jean)]
(Do you got the heat off, girl?) Yes, I do
(Can you turn up the temperature?) You bet I could
(Colombian with a swagger) Yes, I am
Whatever it takes to make this thing work, we're gonna
Yeah (Oh yeah), yeah
Whatever it takes to make this thing work, we're gonna

[Chorus: Shakira & (Wyclef Jean)]
There's a spy by my window (Yup)
I know it's you (Uh-huh)
You like to keep an eye on me (I do)
I know you like to keep an eye on me (Oh)
There's a spy by my window
I know it's you (It's me)
Won't you like to keep an eye on me? (Uh-huh)
I know you like to keep an eye on me (I do, girl)
Keep an eye on me (Uh-huh)
But if you want it, gotta let it be, oh-oh
You might also like[Verse 2: Shakira & (Wyclef Jean)]
I know you dream about me (Uh-huh)
And it turns me on to think about it
This is the finest game
It ain't even got a name
I just wanna see how far it takes us tonight

[Pre-Chorus: Shakira & (Wyclef Jean)]
(Do you got the music on, girl?) Yes, I do
(Can you get a little closer?) You bet I could
(Colombian with a swagger) Yes, I am
Whatever it takes to make this thing work, we're gonna
Yeah (Oh yeah), yeah
Whatever it takes to make this thing work, we're gonna
Yeah (Oh yeah), yeah
Whatever it takes to make this thing work, we're gonna

[Chorus: Shakira & (Wyclef Jean)]
There's a spy by my window (Yup)
I know it's you (That's me)
You like to keep an eye on me (I do)
I know you like to keep an eye on me (Yup)
There's a spy by my window (Uh-huh)
I know it's you (It's me)
Won't you like to keep an eye on me?
I know you like to keep an eye on me (Uh-huh, uh-huh)
Keep an eye on me
But if you want it, gotta let it be, oh-oh
[Bridge: Wyclef Jean]
When the dog's away, that's when the cats play (Yeah, yeah)
You'll be my girl, I'll be the spy
Like the James Bond flick, girl, I'm ready to ride (Ride, ride)
When the cat's away, that's when the mouse play (Yep, yep)
You'll be my girl, I'll be your spy
Like a James Bond flick, I'm ready to die, die, die

[Chorus: Shakira & (Wyclef Jean)]
There's a spy by my window (Yup)
I know it's you
You like to keep an eye on me
I know you like to keep an eye on me
There's a spy by my window (Yup)
I know it's you (Yup)
Won't you like to keep an eye on me?
I know you like to keep an eye on me
Keep an eye on me
But if you want it, gotta let it be, oh-oh
(Okay)

[Outro: Shakira & Wyclef Jean]
Wyclef, AKA Mr. Bond
Lipstick's on, stockings up
Skirt's short, heels are high
Take your time, buckle up
Close your eyes and enjoy the ride
Close your eyes and enjoy the ride
Close your eyes
Close your eyes and enjoy the ride1Embed"
89,9.,Mon Amour,4:06,She Wolf,Mon Amour,"14 ContributorsTranslationsEspañolMon Amour Lyrics[Verse 1]
I think you're livin' in denial
Oh, can't you see she's pretty wild?
And every night I pray that you don't knock her up
'Cause I still want to be the mother of your child
They say, ""L'amour est né à Paris""
So she's planned a little trip to France
While she's in anxious anticipation
I really hope you have a horrible vacation

[Verse 2]
And so you think of me when you arrive
Hope the French fleas eat you both alive
And your room smells
And the toilet doesn't flush
And the locals treat you mean
And the service takes too long

[Pre-Chorus]
'Cause I'm fragile
And you broke my heart in two
But you just smile
Like it's all the same to you, to you

[Chorus]
When you learn your lesson
Come back like a prodigal son
And read the big sign at the airport
""Bienvenue from hell, mon amour""
When you learn your lesson
Come back like a prodigal son
And read the big sign at the airport
""Bienvenue from hell, mon amour""
You might also like[Verse 3]
Where did you get the ability
To make fake promises to me?
You are exactly like a politician
Need everyone's approval just to see if you're doing right

[Verse 4]
And I hope you freeze under the Eiffel Tower
So you end up throwing in the towel
Hope you'll miss me
And someday you're gonna see
That I put my trust in you
But you turned your back to me

[Pre-Chorus]
'Cause I'm fragile
And you broke my heart in two
But you just smile
Like it's all the same to you, to you

[Chorus]
When you learn your lesson
Come back like a prodigal son
And read the big sign at the airport
“Bienvenue from hell, mon amour”
When you learn your lesson
Come back like a prodigal son
And read the big sign at the airport
""Bienvenue from hell, mon amour""
[Breakdown]
What's your destination?
What's your destination?

[Chorus]
When you learn your lesson
Come back like a prodigal son
And read the big sign at the airport
""Bienvenue from hell, mon amour""
When you learn your lesson
Come back like a prodigal son
And read the big sign at the airport
""Bienvenue from hell, mon amour""
Mon amour, mon amour

[Outro]
Passengers with destination
Passengers with destination
Passengers with destination to hell
Please proceed to your gate
We are ready to board now2Embed"
